	timestamp	user_edits	anonymous_edits	group-bot_edits	name-bot_edits	all-editor-types_edits	user_editors
0	2001-01	0	0	0	0	0	0
1	2001-02	0	0	0	0	0	0
2	2001-03	0	0	0	0	0	0
3	2001-04	0	0	0	0	0	0
4	2001-05	0	0	0	0	0	0
5	2001-06	0	0	0	0	0	0
6	2001-07	0	0	0	0	0	0
7	2001-08	0	0	0	0	0	0
8	2001-09	0	0	0	0	0	0
9	2001-10	0	0	0	0	0	0
10	2001-11	0	0	0	0	0	0
11	2001-12	0	0	0	0	0	0
12	2002-01	0	0	0	0	0	0
13	2002-02	0	0	0	0	0	0
14	2002-03	0	0	0	0	0	0
15	2002-04	0	0	0	0	0	0
16	2002-05	0	0	0	0	0	0
17	2002-06	0	0	0	0	0	0
18	2002-07	0	0	0	0	0	0
19	2002-08	0	0	0	0	0	0
20	2002-09	0	0	0	0	0	0
21	2002-10	0	0	0	0	0	0
22	2002-11	0	0	0	0	0	0
23	2002-12	0	0	0	0	0	0
24	2003-01	0	0	0	0	0	0
25	2003-02	0	0	0	0	0	0
26	2003-03	0	0	0	0	0	0
27	2003-04	0	0	0	0	0	0
28	2003-05	0	0	0	0	0	0
29	2003-06	0	0	0	0	0	0
30	2003-07	0	0	0	0	0	0
31	2003-08	0	0	0	0	0	0
32	2003-09	0	0	0	0	0	0
33	2003-10	0	0	0	0	0	0
34	2003-11	0	0	0	0	0	0
35	2003-12	0	0	0	0	0	0
36	2004-01	0	0	0	0	0	0
37	2004-02	0	0	0	0	0	0
38	2004-03	0	0	0	0	0	0
39	2004-04	0	0	0	0	0	0
40	2004-05	0	0	0	0	0	0
41	2004-06	0	0	0	0	0	0
42	2004-07	0	0	0	0	0	0
43	2004-08	0	0	0	0	0	0
44	2004-09	0	0	0	0	0	0
45	2004-10	0	0	0	0	0	0
46	2004-11	0	0	0	0	0	0
47	2004-12	0	0	0	0	0	0
48	2005-01	0	0	0	0	0	0
49	2005-02	0	0	0	0	0	0
50	2005-03	1	0	0	0	1	1
51	2005-04	4	0	0	0	4	1
52	2005-05	4	0	0	0	4	1
53	2005-06	6	2	0	0	8	1
54	2005-07	31	0	0	0	31	5
55	2005-08	0	0	0	0	0	0
56	2005-09	1	0	0	0	1	1
57	2005-10	14	0	0	0	14	1
58	2005-11	13	0	0	0	13	1
59	2005-12	10	21	0	0	31	1
60	2006-01	42	11	0	0	53	2
61	2006-02	15	4	0	0	19	2
62	2006-03	196	2	0	0	198	9
63	2006-04	168	0	0	0	168	5
64	2006-05	185	12	0	0	197	4
65	2006-06	257	8	0	0	265	4
66	2006-07	10	0	0	0	10	1
67	2006-08	139	2	0	324	465	4
68	2006-09	104	48	0	0	152	6
69	2006-10	60	2	0	0	62	2
70	2006-11	36	1	0	0	37	3
71	2006-12	126	9	0	0	135	2
72	2007-01	58	1	0	0	59	5
73	2007-02	31	0	0	0	31	2
74	2007-03	7	2	0	0	9	2
75	2007-04	49	0	0	0	49	4
76	2007-05	49	4	0	0	53	3
77	2007-06	59	15	0	0	74	3
78	2007-07	133	6	0	0	139	4
79	2007-08	261	7	0	0	268	7
80	2007-09	284	0	0	0	284	7
81	2007-10	92	3	0	0	95	3
82	2007-11	116	3	0	0	119	5
83	2007-12	268	2	0	0	270	6
84	2008-01	770	16	46	28	860	13
85	2008-02	141	12	33	51	237	5
86	2008-03	746	29	31	38	844	6
87	2008-04	116	11	39	40	206	4
88	2008-05	160	16	106	84	366	6
89	2008-06	230	18	120	98	466	7
90	2008-07	682	88	33	168	971	9
91	2008-08	394	6	99	174	673	7
92	2008-09	164	12	122	60	358	7
93	2008-10	259	5	99	70	433	6
94	2008-11	76	10	37	126	249	7
95	2008-12	400	9	20	135	564	7
96	2009-01	406	20	42	644	1112	14
97	2009-02	160	5	39	386	590	8
98	2009-03	504	8	65	472	1049	12
99	2009-04	449	6	66	421	942	10
100	2009-05	454	14	291	459	1218	13
101	2009-06	362	5	205	554	1126	10
102	2009-07	173	7	276	764	1220	17
103	2009-08	117	6	362	835	1320	17
104	2009-09	149	5	235	642	1031	19
105	2009-10	122	12	143	876	1153	10
106	2009-11	218	39	164	706	1127	11
107	2009-12	159	9	288	594	1050	9
108	2010-01	321	22	114	722	1179	15
109	2010-02	664	71	279	652	1666	17
110	2010-03	263	50	240	780	1333	16
