	timestamp	user_edits	anonymous_edits	group-bot_edits	name-bot_edits	all-editor-types_edits	user_editors
157	2014-02	2010	26	7446	3	9485	51
158	2014-03	1254	45	2554	0	3853	47
159	2014-04	992	37	128	0	1157	48
160	2014-05	1106	51	57	0	1214	56
161	2014-06	1150	46	7	0	1203	50
162	2014-07	1168	63	168	0	1399	56
163	2014-08	1284	64	49	1	1398	60
164	2014-09	959	38	459	1	1457	61
165	2014-10	1255	31	75	0	1361	60
166	2014-11	2391	44	19	2	2456	49
167	2014-12	3668	43	6	0	3717	50
168	2015-01	1624	25	15	1	1665	47
169	2015-02	2415	47	22	28	2512	51
170	2015-03	2424	44	30	1	2499	57
171	2015-04	2041	21	0	0	2062	43
172	2015-05	1443	31	9	0	1483	53
173	2015-06	2388	38	11	0	2437	52
174	2015-07	2047	63	18	0	2128	55
175	2015-08	1401	42	537	38	2018	61
176	2015-09	25460	46	10	12	25528	53
177	2015-10	3113	53	0	6	3172	64
178	2015-11	4118	80	2	8	4208	67
179	2015-12	4555	90	11	3	4659	63
180	2016-01	3565	87	0	6	3658	63
181	2016-02	2847	59	18	1	2925	47
182	2016-03	1880	44	3	5	1932	47
183	2016-04	2539	50	5	2	2596	49
184	2016-05	8891	45	6	0	8942	67
185	2016-06	4202	26	9	1	4238	40
186	2016-07	2563	71	4	2	2640	48
187	2016-08	6588	37	2	7	6634	48
188	2016-09	2879	31	2	2	2914	41
189	2016-10	866	38	3	5	912	35
190	2016-11	1062	36	0	27	1125	50
191	2016-12	867	81	5	6	959	46
192	2017-01	1198	99	5	14	1316	47
193	2017-02	3221	251	4	2	3478	45
194	2017-03	1977	67	5	11	2060	48
195	2017-04	1158	86	9	0	1253	53
196	2017-05	1381	65	25	2	1473	37
197	2017-06	1296	42	15	3	1356	49
198	2017-07	1259	36	25	22	1342	47
199	2017-08	2528	68	9	2	2607	68
200	2017-09	1296	43	6	5	1350	54
201	2017-10	1609	98	4158	10	5875	53
202	2017-11	2849	55	259	0	3163	52
203	2017-12	2348	49	172	13	2582	50
204	2018-01	1250	91	113	0	1454	55
205	2018-02	1396	74	159	51	1680	47
206	2018-03	819	58	169	1	1047	40
207	2018-04	594	46	469	11	1120	38
208	2018-05	718	35	4715	1	5469	51
209	2018-06	829	42	468	6	1345	51
210	2018-07	773	32	138	3	946	50
211	2018-08	1245	20	105	9	1379	41
212	2018-09	1125	30	0	10	1165	37
213	2018-10	657	30	220	8	915	53
214	2018-11	1184	50	122	2	1358	43
215	2018-12	1614	60	0	4	1678	44
216	2019-01	1060	92	54	9	1215	59
217	2019-02	851	63	186	13	1113	42
218	2019-03	692	65	500	7	1264	40
219	2019-04	570	51	157	0	778	46
220	2019-05	645	49	396	1	1091	40
221	2019-06	2492	40	182	9	2723	46
222	2019-07	586	58	47	1	692	51
223	2019-08	965	75	323	10	1373	48
224	2019-09	2058	49	585	3	2695	47
225	2019-10	1312	86	671	2	2071	57
226	2019-11	499	73	849	1	1422	45
227	2019-12	331	58	634	0	1023	46
228	2020-01	2556	82	526	4	3168	56
229	2020-02	1470	75	674	3	2222	39
230	2020-03	858	163	2057	3	3081	52
231	2020-04	574	80	101	0	755	38
232	2020-05	1251	66	5	0	1322	41
233	2020-06	635	56	7	0	698	53
234	2020-07	283	74	14	1	372	42
235	2020-08	440	92	0	0	532	48
236	2020-09	422	73	0	0	495	42
237	2020-10	472	79	0	0	551	42
