	timestamp	user_edits	anonymous_edits	group-bot_edits	name-bot_edits	all-editor-types_edits	user_editors
0	2001-01	0	0	0	0	0	0
1	2001-02	0	0	0	0	0	0
2	2001-03	0	0	0	0	0	0
3	2001-04	0	0	0	0	0	0
4	2001-05	0	0	0	0	0	0
5	2001-06	0	0	0	0	0	0
6	2001-07	0	0	0	0	0	0
7	2001-08	0	0	0	0	0	0
8	2001-09	0	0	0	0	0	0
9	2001-10	0	0	0	0	0	0
10	2001-11	0	0	0	0	0	0
11	2001-12	0	0	0	0	0	0
12	2002-01	0	0	0	0	0	0
13	2002-02	0	0	0	0	0	0
14	2002-03	0	0	0	0	0	0
15	2002-04	0	0	0	0	0	0
16	2002-05	0	0	0	0	0	0
17	2002-06	0	0	0	0	0	0
18	2002-07	0	0	0	0	0	0
19	2002-08	0	0	0	0	0	0
20	2002-09	0	0	0	0	0	0
21	2002-10	0	0	0	0	0	0
22	2002-11	0	0	0	0	0	0
23	2002-12	0	0	0	0	0	0
24	2003-01	0	0	0	0	0	0
25	2003-02	0	0	0	0	0	0
26	2003-03	0	0	0	0	0	0
27	2003-04	0	0	0	0	0	0
28	2003-05	0	0	0	0	0	0
29	2003-06	0	0	0	0	0	0
30	2003-07	0	0	0	0	0	0
31	2003-08	0	0	0	0	0	0
32	2003-09	0	0	0	0	0	0
33	2003-10	0	0	0	0	0	0
34	2003-11	0	0	0	0	0	0
35	2003-12	0	0	0	0	0	0
36	2004-01	0	0	0	0	0	0
37	2004-02	0	0	0	0	0	0
38	2004-03	0	0	0	0	0	0
39	2004-04	0	0	0	0	0	0
40	2004-05	0	0	0	0	0	0
41	2004-06	0	0	0	0	0	0
42	2004-07	0	0	0	0	0	0
43	2004-08	0	0	0	0	0	0
44	2004-09	0	0	0	0	0	0
45	2004-10	0	0	0	0	0	0
46	2004-11	0	0	0	0	0	0
47	2004-12	0	0	0	0	0	0
48	2005-01	0	0	0	0	0	0
49	2005-02	0	0	0	0	0	0
50	2005-03	0	0	0	0	0	0
51	2005-04	0	0	0	0	0	0
52	2005-05	0	0	0	0	0	0
53	2005-06	196	59	0	0	255	15
54	2005-07	355	41	0	0	396	10
55	2005-08	587	349	0	24	960	16
56	2005-09	803	430	0	2	1235	15
57	2005-10	1094	423	6	0	1523	13
58	2005-11	187	225	0	0	412	12
59	2005-12	324	138	0	0	462	8
60	2006-01	374	190	21	1	586	14
61	2006-02	236	248	20	0	504	16
62	2006-03	173	122	324	0	619	16
63	2006-04	54	72	461	0	587	9
64	2006-05	117	128	268	0	513	19
65	2006-06	36	156	249	0	441	10
66	2006-07	236	155	309	0	700	15
67	2006-08	54	111	179	0	344	14
68	2006-09	156	76	440	0	672	14
69	2006-10	70	92	734	0	896	14
70	2006-11	73	305	609	0	987	10
71	2006-12	267	112	492	0	871	13
72	2007-01	147	107	1547	0	1801	13
73	2007-02	186	150	633	0	969	10
74	2007-03	114	163	1033	0	1310	22
75	2007-04	260	133	373	0	766	22
76	2007-05	362	209	925	0	1496	29
77	2007-06	199	118	901	0	1218	19
78	2007-07	308	98	496	0	902	19
79	2007-08	231	85	1878	0	2194	22
80	2007-09	1464	152	1320	0	2936	16
81	2007-10	200	178	1646	0	2024	11
82	2007-11	110	155	1587	0	1852	14
83	2007-12	61	80	1138	0	1279	16
84	2008-01	215	196	890	2	1303	19
85	2008-02	626	242	789	24	1681	25
86	2008-03	289	219	1199	5	1712	22
87	2008-04	425	167	1402	10	2004	33
88	2008-05	159	109	1621	2	1891	12
89	2008-06	138	56	1754	13	1961	26
90	2008-07	81	59	1696	4	1840	24
91	2008-08	645	79	2021	2	2747	16
92	2008-09	392	84	959	2	1437	15
93	2008-10	81	74	986	3	1144	26
94	2008-11	298	117	1194	8	1617	12
95	2008-12	91	104	1144	28	1367	19
96	2009-01	144	86	1942	128	2300	16
97	2009-02	343	307	870	340	1860	36
98	2009-03	160	104	973	560	1797	27
99	2009-04	205	71	1019	416	1711	32
100	2009-05	117	74	1014	407	1612	27
101	2009-06	90	67	1123	442	1722	25
102	2009-07	78	39	1337	751	2205	28
103	2009-08	180	69	1473	584	2306	17
104	2009-09	174	94	1183	463	1914	31
105	2009-10	128	112	1303	514	2057	33
106	2009-11	162	72	913	498	1645	29
107	2009-12	328	33	1042	597	2000	28
